institution_name,grad_rate,basic,student_count,spending_per_award,full_time_pct,full_time_count,med_sat_value,aid_value,endow_value,grad_on_time_pct,pell_value,fresh_retain_value,full_time_fac_pct,flagship_binary,EndowXSpend,PellXSat,RetainXSat,AidXSat,AidXEndow
Gulf Coast Community College,0.211,Associates--Public Rural-serving Large,6271,37408,0.355,4474,NA,3585,5953,NA,0.428,NA,0.34,0,222689824,NA,NA,NA,21341505
Indian River State College,0.258,Associates--Public 4-year Primarily Associates,17248,22361,0.344,12211,NA,3869,1721,NA,0.399,NA,0.253,0,38483281,NA,NA,NA,6658549
Florida Gateway College,0.238,Associates--Public Rural-serving Medium,3057,30369,0.311,2179,NA,2383,1548,NA,0.39,NA,0.375,0,47011212,NA,NA,NA,3688884
Lake-Sumter Community College,0.222,Associates--Public Suburban-serving Multicampus,4288,31596,0.291,2983,NA,4670,1390,NA,0.312,NA,0.328,0,43918440,NA,NA,NA,6491300
"State College of Florida, Manatee-Sarasota",0.202,Associates--Public Urban-serving Multicampus,10533,30474,0.416,8012,NA,4066,1487,NA,0.463,NA,0.257,0,45314838,NA,NA,NA,6046142
Miami Dade College,0.21,Associates--Public 4-year Primarily Associates,66298,23317,0.401,53787,NA,3956,3411,NA,0.516,NA,0.273,0,79534287,NA,NA,NA,13493916
University of North Florida,0.272,Masters Colleges and Universities--larger programs,14263,33419,0.707,12712,1143,4824,6018,0.21,0.348,0.817,0.616,0,201115542,397.764,933.831,5513832,29030832
Northwest Florida State College,0.277,Associates--Public 4-year Primarily Associates,6708,19649,0.399,5197,NA,4712,6868,NA,0.315,NA,0.364,0,134949332,NA,NA,NA,32362016
Palm Beach State College,0.231,Associates--Public Suburban-serving Multicampus,29763,20204,0.318,19938,NA,2757,879,NA,0.469,NA,0.238,0,17759316,NA,NA,NA,2423403
Pensacola State College,0.23,Associates--Public Rural-serving Large,11235,26206,0.398,8740,NA,3748,990,NA,0.376,NA,0.287,0,25943940,NA,NA,NA,3710520
Polk State College,0.202,Associates--Public Rural-serving Large,11085,34331,0.347,7935,NA,4669,1393,NA,0.415,NA,0.246,0,47823083,NA,NA,NA,6503917
St. Petersburg College,0.224,Baccalaureate/Associates Colleges,31820,27960,0.287,21467,NA,3376,1241,NA,0.427,NA,0.192,0,34698360,NA,NA,NA,4189616
Santa Fe College,0.243,Associates--Public Rural-serving Large,15113,25944,0.401,11819,NA,2232,1916,NA,0.383,NA,0.319,0,49708704,NA,NA,NA,4276512
Seminole State College of Florida,0.193,Associates--Public Suburban-serving Single Campus,18427,14911,0.374,15021,NA,4007,725,NA,0.477,NA,0.253,0,10810475,NA,NA,NA,2905075
St. Johns River Community College,0.181,Associates--Public Rural-serving Large,6127,28925,0.374,4698,NA,3891,361,NA,0.387,NA,0.334,0,10441925,NA,NA,NA,1404651
South Florida Community College,0.255,Associates--Public Rural-serving Medium,2699,40390,0.359,1902,NA,3986,2640,NA,0.455,NA,0.448,0,106629600,NA,NA,NA,10523040
University of South Florida,0.263,Research Universities--very high research activity,31100,47794,0.763,28730,1168,6084,9188,0.35,0.413,0.888,0.752,0,439131272,482.384,1037.184,7106112,55899792
Valencia Community College,0.243,Associates--Public Urban-serving Multicampus,42180,15845,0.392,30467,NA,4541,1893,NA,0.446,NA,0.306,0,29994585,NA,NA,NA,8596113
University of West Florida,0.249,Doctoral/Research Universities,10158,42621,0.746,8810,1062,5501,4664,0.2,0.41,0.7,0.529,0,198784344,435.42,743.4,5842062,25656664
Abraham Baldwin Agricultural College,0.198,Associates--Public 4-year Primarily Associates,3394,51855,0.692,2564,897,4200,4111,NA,0.461,0.604,0.569,0,213175905,413.517,541.788,3767400,17266200
Albany State University,0.147,Masters Colleges and Universities--medium programs,3660,73692,0.825,3331,887,5368,485,0.16,0.723,0.697,0.641,0,35740620,641.301,618.239,4761416,2603480
Armstrong Atlantic State University,0.177,Masters Colleges and Universities--larger programs,6377,47207,0.735,5831,997,5045,1417,0.1,0.434,0.674,0.625,0,66892319,432.698,671.978,5029865,7148765
Atlanta Metropolitan College,0.123,Associates--Public Urban-serving Single Campus,3016,57393,0.542,2437,NA,4197,NA,NA,0.711,0.8,0.463,0,NA,NA,NA,NA,NA
College of Coastal Georgia,0.145,Associates--Public Rural-serving Medium,2987,68874,0.615,2447,940,4212,2548,NA,0.513,0.574,0.523,0,175490952,482.22,539.56,3959280,10732176
Clayton State University,0.204,Baccalaureate Colleges--Diverse Fields,6893,49540,0.571,5585,939,4633,686,0.08,0.578,0.727,0.73,0,33984440,542.742,682.653,4350387,3178238
Columbus State University,0.169,Masters Colleges and Universities--larger programs,7013,56347,0.71,6037,984,5037,6514,0.12,0.456,0.665,0.588,0,367044358,448.704,654.36,4956408,32811018
Dalton State College,0.161,Baccalaureate/Associates Colleges,5015,41916,0.607,3846,NA,4398,2488,0.07,0.612,0.712,0.703,0,104287008,NA,NA,NA,10942224
East Georgia College,0.062,Associates--Public Rural-serving Small,2857,88306,0.768,2345,NA,6758,82,NA,0.985,NA,0.627,0,7241092,NA,NA,NA,554156
Fort Valley State University,0.113,Baccalaureate Colleges--Diverse Fields,2858,78466,0.899,2981,NA,5214,1782,0.07,0.765,0.586,0.818,0,139826412,NA,NA,NA,9291348
Georgia Institute of Technology,0.207,Research Universities--very high research activity,14558,85980,0.913,15126,1352,8510,77288,0.4,0.193,0.955,0.857,0,6645222240,260.936,1291.16,11505520,657720880
Georgia Southwestern State University,0.205,Masters Colleges and Universities--smaller programs,2667,40893,0.701,2459,950,4979,4532,0.15,0.477,0.65,0.701,0,185327076,453.15,617.5,4730050,22564828
Georgia College & State University,0.208,Masters Colleges and Universities--larger programs,5729,52917,0.919,5540,1126,6178,5101,0.38,0.218,0.846,0.765,0,269929617,245.468,952.596,6956428,31513978
Georgia Southern University,0.165,Doctoral/Research Universities,17904,52327,0.88,17010,1094,5192,2244,0.25,0.375,0.805,0.871,0,117421788,410.25,880.67,5680048,11650848
Georgia State University,0.201,Research Universities--very high research activity,24868,49608,0.74,21951,1060,5995,5272,0.21,0.509,0.823,0.736,0,261533376,539.54,872.38,6354700,31605640
Gordon College (Ga.),0.15,Associates--Public 4-year Primarily Associates,4187,36914,0.659,3336,840,4069,703,NA,0.539,1,0.532,0,25950542,452.76,840,3417960,2860507
Kennesaw State University,0.174,Masters Colleges and Universities--larger programs,22621,54265,0.746,19728,1068,4457,1180,0.15,0.418,0.756,0.517,0,64032700,446.424,807.408,4760076,5259260
Savannah State University,0.098,Baccalaureate Colleges--Arts & Sciences,4602,102724,0.89,4045,847,5676,1037,0.08,0.74,0.702,0.782,0,106524788,626.78,594.594,4807572,5886012
Southern Polytechnic State University,0.165,Masters Colleges and Universities--medium programs,5732,59353,0.723,4742,1123,5061,1213,0.1,0.414,0.724,0.702,0,71995189,464.922,813.052,5683503,6138993
Valdosta State University,0.174,Masters Colleges and Universities--larger programs,9718,43779,0.852,9382,1033,5174,2747,0.15,0.459,0.689,0.791,0,120260913,474.147,711.737,5344742,14212978
University of West Georgia,0.168,Masters Colleges and Universities--larger programs,9959,51697,0.84,9112,950,4996,2122,0.17,0.476,0.715,0.803,0,109701034,452.2,679.25,4746200,10601512
University of Hawaii at Hilo,0.215,Baccalaureate Colleges--Arts & Sciences,3457,105035,0.8,3036,967,6906,63,0.08,0.453,0.698,0.718,0,6617205,438.051,674.966,6678102,435078
University of Hawaii Maui College,0.213,Associates--Public 4-year Primarily Associates,4076,64939,0.358,2492,NA,3895,119,NA,0.465,NA,0.369,0,7727741,NA,NA,NA,463505
University of Hawaii-West Oahu,0.288,Baccalaureate Colleges--Diverse Fields,2361,74771,0.442,1303,891,4491,125,0.06,0.351,0.677,0.478,0,9346375,312.741,603.207,4001481,561375
Boise State University,0.187,Masters Colleges and Universities--larger programs,19026,48958,0.654,14986,1050,4125,4948,0.1,0.372,0.713,0.555,0,242244184,390.6,748.65,4331250,20410500
Idaho State University,0.183,Research Universities--high research activity,11418,59914,0.614,8853,NA,5041,3835,0.11,0.475,0.685,0.717,0,229770190,NA,NA,NA,19332235
Lewis-Clark State College,0.212,Baccalaureate Colleges--Diverse Fields,4304,52115,0.568,3199,936,4807,1610,0.08,0.417,0.598,0.631,0,83905150,390.312,559.728,4499352,7739270
Chicago State University,0.194,Masters Colleges and Universities--larger programs,4340,114762,0.657,3602,892,6934,746,0.04,0.687,0.536,0.712,0,85612452,612.804,478.112,6185128,5172764
Eastern Illinois University,0.253,Masters Colleges and Universities--larger programs,8347,67549,0.878,8235,1010,7165,4361,0.33,0.392,0.771,0.803,0,294581189,395.92,778.71,7236650,31246565
University of Illinois at Chicago,0.231,Research Universities--very high research activity,16671,140990,0.924,15972,1092,12029,7841,0.29,0.491,0.798,0.62,0,1105502590,536.172,871.416,13135668,94319389
Illinois State University,0.253,Doctoral/Research Universities,17749,64878,0.94,17086,1110,3918,4015,0.46,0.256,0.816,0.712,0,260485170,284.16,905.76,4348980,15730770
Northern Illinois University,0.256,Research Universities--high research activity,15814,66633,0.874,14566,1010,7741,3355,0.26,0.43,0.665,0.791,0,223553715,434.3,671.65,7818410,25971055
Northeastern Illinois University,0.238,Masters Colleges and Universities--larger programs,8950,68211,0.566,6849,890,5805,788,0.04,0.482,0.61,0.617,0,53750268,428.98,542.9,5166450,4574340
